factor_no,good_cd,good_year,good_mnth,fri_val_loc,fri_val_for,fri_val_tot,in_val_loc,in_val_for,in_val_tot,out_val_ras,out_val_loc,out_val_for,out_val_tot,in_val_loc_rem,in_val_for_rem,fri_val_rem,fin_val_loc,fin_val_for,fin_val_tot,fin_val_old,comp_val_up,comp_val_low,comp_val_rat,good_nm,good_flg,final_date,comp_not1,comp_not2
3,0,2025,11,25542.91,0,25542.91,3467.85,0,3467.85,6526.96,1725.64,0,8252.61,1742.21,0,19015.94,20758.15,0,20758.15,33.61,20724.54,0,999.99,خامات رئيسية,1,29/11/2025 00:00:00,لوجود ط 1411 وط 1412 مكسبات طعم وط 1520 وط 1519,زيوت عطرية وط 1551 وط142 م طعم وط 1689 زيوت عطرية
3,1,2025,11,47.80,0,47.80,0,0,0,0,0,0,0,0,0,47.80,47.80,0,47.80,0.05,47.76,0,999.99,خامات مساعدة,1,29/11/2025 00:00:00,0,0
3,2,2025,11,10.22,0,10.22,18.99,0,18.99,7.13,0,0,7.13,18.99,0,3.09,22.08,0,22.08,0,22.08,0,999.99,وقود,1,29/11/2025 00:00:00,0,0
3,3,2025,11,7.91,0,7.91,98.77,0,98.77,0,98.77,0,98.77,0,0,7.91,7.91,0,7.91,0.01,7.90,0,999.99,قطع غياروصيانة,1,29/11/2025 00:00:00,0,0
3,4,2025,11,0.46,0,0.46,132.27,0,132.27,0,92.46,0,92.46,39.81,0,0.46,40.27,0,40.27,0,40.27,0,999.99,مواد و مهمات,1,29/11/2025 00:00:00,0,0
3,5,2025,11,22887.92,0,22887.92,7428.49,0,7428.49,3888.19,4348.56,0,8236.74,3079.93,0,18999.73,22079.66,0,22079.66,24.11,22055.55,0,999.99,تعبئة وتغليف,1,29/11/2025 00:00:00,لوجد ط 1400 وط 1438 زجاج وط 1532,وط 1622 كبس سيليلوزى
3,6,2025,11,0,0,0,62.53,0,62.53,0,62.53,0,62.53,0,0,0,0,0,0,0,0,0,0,مخلفات,1,29/11/2025 00:00:00,0,0
3,99,2025,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,اخرى,1,29/11/2025 00:00:00,0,0
4,0,2025,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,خامات رئيسية,1,29/11/2025 00:00:00,,
4,1,2025,11,6795.69,11192.56,17988.26,10813.20,5892.87,16706.07,11790.89,8151.18,0,19942.06,2662.03,5892.87,6197.37,3512.06,11240.21,14752.27,23110.00,0,8357.73,36.17,خامات مساعدة,1,29/11/2025 00:00:00,ط1765+امرتوريد5175+5321+5335+5318+5176,+5172+ط1768 شحد انتى فوم
4,2,2025,11,67.04,0,67.04,46.41,0,46.41,0.65,14.60,0,15.26,31.81,0,66.39,98.20,0,98.20,67.00,31.20,0,46.56,وقود,1,29/11/2025 00:00:00,,
